Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife
ALO,15.0,119.692,53.186,42.622,23.884,HARD,1.0
HAM,15.0,98.527,31.23,43.259,24.038,HARD,3.0
LEC,15.0,98.477,31.261,43.184,24.032,HARD,2.0
RUS,15.0,97.46,30.812,42.616,24.032,HARD,2.0
SAI,15.0,97.985,31.107,42.86,24.018,HARD,2.0
VER,15.0,118.378,51.854,42.629,23.895,SOFT,1.0
ALO,16.0,97.542,31.154,42.459,23.929,HARD,2.0
HAM,16.0,98.617,31.162,43.414,24.041,HARD,4.0
LEC,16.0,97.953,30.859,42.965,24.129,HARD,3.0
RUS,16.0,97.833,30.88,42.883,24.07,HARD,3.0
SAI,16.0,98.433,31.232,43.011,24.19,HARD,3.0
VER,16.0,97.801,31.209,42.711,23.881,SOFT,2.0
ALO,17.0,98.139,30.946,43.197,23.996,HARD,3.0
HAM,17.0,98.704,31.16,43.372,24.172,HARD,5.0
LEC,17.0,98.031,31.312,42.722,23.997,HARD,4.0
RUS,17.0,98.604,30.903,43.462,24.239,HARD,4.0
SAI,17.0,98.161,31.234,42.911,24.016,HARD,4.0
VER,17.0,97.648,31.17,42.623,23.855,SOFT,3.0
ALO,18.0,98.124,31.3,42.737,24.087,HARD,4.0
HAM,18.0,98.69,31.263,43.262,24.165,HARD,6.0
LEC,18.0,97.798,31.207,42.696,23.895,HARD,5.0
RUS,18.0,98.427,30.995,43.299,24.133,HARD,5.0
SAI,18.0,98.287,31.283,42.95,24.054,HARD,5.0
VER,18.0,97.614,31.211,42.569,23.834,SOFT,4.0
ALO,19.0,98.361,31.313,42.965,24.083,HARD,5.0
HAM,19.0,98.684,31.294,43.297,24.093,HARD,7.0
LEC,19.0,97.858,31.149,42.743,23.966,HARD,6.0
RUS,19.0,98.512,31.276,43.188,24.048,HARD,6.0
SAI,19.0,98.21,31.208,42.939,24.063,HARD,6.0
VER,19.0,97.712,31.243,42.608,23.861,SOFT,5.0
ALO,20.0,98.318,31.337,42.915,24.066,HARD,6.0
HAM,20.0,98.478,31.163,43.227,24.088,HARD,8.0
LEC,20.0,97.631,31.166,42.561,23.904,HARD,7.0
RUS,20.0,98.578,31.282,43.216,24.08,HARD,7.0
SAI,20.0,98.096,31.272,42.826,23.998,HARD,7.0
VER,20.0,97.788,31.186,42.766,23.836,SOFT,6.0
ALO,21.0,98.407,31.383,42.994,24.03,HARD,7.0
HAM,21.0,98.581,31.151,43.35,24.08,HARD,9.0
LEC,21.0,97.753,31.114,42.726,23.913,HARD,8.0
RUS,21.0,98.555,31.287,43.084,24.184,HARD,8.0
SAI,21.0,98.24,31.305,42.957,23.978,HARD,8.0
VER,21.0,97.582,31.168,42.572,23.842,SOFT,7.0
ALO,22.0,98.2,31.364,42.853,23.983,HARD,8.0
HAM,22.0,98.46,31.336,43.109,24.015,HARD,10.0
LEC,22.0,98.162,31.499,42.618,24.045,HARD,9.0
RUS,22.0,98.438,31.313,42.999,24.126,HARD,9.0
SAI,22.0,98.453,31.288,43.137,24.028,HARD,9.0
VER,22.0,97.651,31.224,42.548,23.879,SOFT,8.0
ALO,23.0,97.853,31.14,42.63,24.083,HARD,9.0
HAM,23.0,98.384,31.164,43.21,24.01,HARD,11.0
LEC,23.0,98.054,31.209,42.95,23.895,HARD,10.0
RUS,23.0,98.773,31.278,43.405,24.09,HARD,10.0
SAI,23.0,98.597,31.483,43.147,23.967,HARD,10.0
VER,23.0,97.552,31.153,42.514,23.885,SOFT,9.0
ALO,24.0,97.878,31.237,42.611,24.03,HARD,10.0
HAM,24.0,98.367,31.202,43.079,24.086,HARD,12.0
LEC,24.0,97.972,31.197,42.742,24.033,HARD,11.0
RUS,24.0,98.643,31.298,43.348,23.997,HARD,11.0
SAI,24.0,98.314,31.442,42.878,23.994,HARD,11.0
VER,24.0,97.387,31.145,42.398,23.844,SOFT,10.0
ALO,25.0,98.139,31.315,42.669,24.155,HARD,11.0
HAM,25.0,98.29,31.209,42.97,24.111,HARD,13.0
LEC,25.0,98.541,31.344,43.046,24.151,HARD,12.0
RUS,25.0,98.487,31.311,43.056,24.12,HARD,12.0
SAI,25.0,98.571,31.282,43.172,24.117,HARD,12.0
VER,25.0,97.372,31.145,42.344,23.883,SOFT,11.0
ALO,26.0,98.127,31.267,42.694,24.166,HARD,12.0
HAM,26.0,98.339,31.345,42.89,24.104,HARD,14.0
LEC,26.0,99.668,32.247,43.143,24.278,HARD,13.0
RUS,26.0,98.462,31.334,43.033,24.095,HARD,13.0
SAI,26.0,98.331,31.316,42.976,24.039,HARD,13.0
VER,26.0,97.682,31.213,42.533,23.936,SOFT,12.0
ALO,27.0,98.612,31.395,43.114,24.103,HARD,13.0
HAM,27.0,98.369,31.379,42.864,24.126,HARD,15.0
LEC,27.0,98.814,31.412,43.168,24.234,HARD,14.0
RUS,27.0,98.625,31.393,43.152,24.08,HARD,14.0
SAI,27.0,98.423,31.448,42.994,23.981,HARD,14.0
VER,27.0,97.379,31.079,42.349,23.951,SOFT,13.0
ALO,28.0,98.199,31.345,42.758,24.096,HARD,14.0
HAM,28.0,98.265,31.232,42.845,24.188,HARD,16.0
LEC,28.0,98.618,31.382,43.081,24.155,HARD,15.0
RUS,28.0,98.448,31.233,43.103,24.112,HARD,15.0
SAI,28.0,98.474,31.422,42.956,24.096,HARD,15.0
VER,28.0,97.651,31.112,42.554,23.985,SOFT,14.0
ALO,29.0,98.585,31.49,42.916,24.179,HARD,15.0
HAM,29.0,98.38,31.319,42.914,24.147,HARD,17.0
LEC,29.0,98.447,31.394,42.964,24.089,HARD,16.0
RUS,29.0,98.792,31.476,43.264,24.052,HARD,16.0
SAI,29.0,98.55,31.436,42.983,24.131,HARD,16.0
VER,29.0,97.571,31.045,42.533,23.993,SOFT,15.0
ALO,30.0,98.282,31.37,42.711,24.201,HARD,16.0
HAM,30.0,101.175,31.375,42.964,26.836,HARD,18.0
LEC,30.0,98.39,31.339,42.887,24.164,HARD,17.0
RUS,30.0,98.541,31.301,43.18,24.06,HARD,17.0
SAI,30.0,98.601,31.445,43.033,24.123,HARD,17.0
VER,30.0,97.549,31.185,42.443,23.921,SOFT,16.0
ALO,31.0,98.009,31.257,42.663,24.089,HARD,17.0
HAM,31.0,119.503,52.363,43.477,23.663,HARD,1.0
LEC,31.0,98.746,31.444,43.121,24.181,HARD,18.0
RUS,31.0,101.035,31.353,43.015,26.667,HARD,18.0
SAI,31.0,101.274,31.438,43.032,26.804,HARD,18.0
VER,31.0,97.431,31.04,42.464,23.927,SOFT,17.0
ALO,32.0,97.871,31.335,42.558,23.978,HARD,18.0
HAM,32.0,97.563,30.795,42.982,23.786,HARD,2.0
LEC,32.0,98.948,31.506,43.272,24.17,HARD,19.0
RUS,32.0,118.694,52.322,42.773,23.599,HARD,1.0
SAI,32.0,118.492,51.61,42.949,23.933,HARD,1.0
VER,32.0,97.691,31.139,42.523,24.029,SOFT,18.0
ALO,33.0,97.769,31.266,42.549,23.954,HARD,19.0
HAM,33.0,97.549,30.882,42.999,23.668,HARD,3.0
LEC,33.0,101.323,31.464,43.248,26.611,HARD,20.0
RUS,33.0,97.221,30.915,42.756,23.55,HARD,2.0
SAI,33.0,97.548,31.27,42.65,23.628,HARD,2.0
VER,33.0,97.686,31.112,42.505,24.069,SOFT,19.0
ALO,34.0,100.353,31.259,42.545,26.549,HARD,20.0
HAM,34.0,98.135,30.81,43.571,23.754,HARD,4.0
LEC,34.0,119.477,52.321,43.143,24.013,HARD,1.0
RUS,34.0,97.311,30.975,42.685,23.651,HARD,3.0
SAI,34.0,97.475,31.149,42.615,23.711,HARD,3.0
VER,34.0,97.839,31.129,42.615,24.095,SOFT,20.0
ALO,35.0,117.389,52.333,41.52,23.536,HARD,1.0
HAM,35.0,96.831,30.798,42.403,23.63,HARD,5.0
LEC,35.0,98.073,31.528,42.729,23.816,HARD,2.0
RUS,35.0,97.592,30.949,42.96,23.683,HARD,4.0
SAI,35.0,97.441,31.161,42.601,23.679,HARD,4.0
VER,35.0,97.85,31.211,42.5,24.139,SOFT,21.0
ALO,36.0,96.156,30.895,41.462,23.799,HARD,2.0
HAM,36.0,96.546,30.869,42.013,23.664,HARD,6.0
LEC,36.0,97.313,31.07,42.615,23.628,HARD,3.0
